x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,label
-8.076.200.544.657.440,-10.407.246.481.635.800,-25.305.567.364.403.700,15.741.919.807.197.100,-12.291.155.585.862.700,34.142.675.164.540.200,-10.760.445.526.842.800,46.644.201.732.416.700,-26.592.221.262.953.100,28.281.864.362.896.100,1
19.771.934.452.836.600,3.098.634.079.385.210,-6.551.459.926.499.280,10.001.307.851.014.500,-6.125.836.781.023.200,87.228.172.437.624,2.222.236.846.125.420,-13.715.397.338.041.300,11.325.387.531.740.200,12.051.932.922.866.900,1
1.216.025.552.211.600,11.486.842.260.267.300,8.507.726.399.017.620,7.603.311.992.864.760,-10.102.083.913.531.500,9.291.452.880.097.220,-10.849.105.091.012.100,47.206.112.437.526.800,2.064.537.732.516.090,-17.904.920.251.186.800,-1
-59.456.465.859.312.500,-3.245.317.512.521.430,-19.715.576.605.867.400,3.520.452.000.961.030,209.952.089.911.366,10.962.389.331.575.200,-2.985.496.273.777.950,-5.617.615.077.947.110,-18.521.866.415.488.300,-15.820.947.916.717.400,-1
6.418.754.672.262.220,-7.742.372.155.919.290,-29.165.907.633.914.100,5.708.968.557.146.260,-3.858.049.307.502.890,20.278.811.999.301.900,12.919.351.878.943.400,-7.305.955.907.280.780,-1.459.065.197.442.410,6.728.428.242.458.810,1
21.533.202.141.656.800,3.957.192.172.390.570,-8.401.368.427.323.450,7.161.656.631.547.350,5.838.715.630.676.200,-1.945.766.968.424.680,-2.676.945.737.063.530,-9.155.394.395.142.060,11.627.098.246.970.900,-36.486.121.081.068.500,-1
4.390.661.078.460.710,3.155.912.962.965.170,-21.005.093.856.249.500,13.777.784.664.632.000,9.858.812.295.461.800,-17.561.503.535.467.400,-3.015.420.823.426.110,1.199.054.143.760.900,-20.070.670.356.564.800,-25.503.413.746.686.300,1
2.365.988.201.591.050,7.659.547.354.650.880,-37.028.971.761.896.300,-45.756.325.751.986.400,-19.649.207.479.522.500,6.086.725.994.703.190,-15.769.766.502.613.000,41.581.093.493.066.700,-33.004.678.829.717.100,2.084.481.984.451.960,1
7.806.943.976.744.470,5.431.053.866.868.150,-15.068.364.890.809.700,-9.988.646.643.889.160,-2.603.054.306.994.470,4.487.046.875.105.180,11.346.722.736.825.800,8.567.902.119.304.760,11.691.978.270.229.100,12.174.793.869.943.700,1
14.161.458.094.158.200,11.715.942.285.957.500,21.366.058.844.966.400,49.194.072.321.066.900,8.920.304.336.436.280,-15.918.055.775.967.900,-7.668.501.133.058.510,-7.321.263.156.998.740,10.659.218.464.523.700,1.111.003.657.990.580,1
8.698.039.780.045.710,2.524.789.243.276.520,-9.340.443.785.000.210,-8.860.681.595.074.160,-118.414.518.281.554,12.746.421.033.560.700,39.705.373.072.707.000,7.170.708.532.880.080,11.856.752.390.890.400,1.132.096.659.622.270,1
6.932.236.315.037.280,-11.919.032.746.883.200,-8.471.687.412.781.510,14.070.952.385.182.300,16.109.869.162.465.800,-42.361.187.430.137.300,-4.409.874.064.390.480,-2.548.918.945.298.900,-17.571.827.713.034.600,-980.743.459.706.756,-1
5.623.383.349.177.760,5.745.925.575.787.240,3.108.622.290.851.030,-47.114.378.681.352.100,17.878.638.399.252.900,34.885.581.119.818.300,14.294.836.397.058.800,-10.717.347.961.154.400,11.412.458.369.697.000,-6.408.613.339.231.740,-1
6.855.494.033.930.380,-33.176.439.458.075.300,-1.406.151.358.279.320,9.729.941.441.459.210,-19.801.589.351.058.000,22.011.677.872.317.700,8.559.211.541.841.890,-5.288.124.072.992.620,9.643.541.956.030.100,1.196.793.201.585.140,1
2.571.590.145.065.230,-13.276.813.567.243.000,-13.981.128.179.710.800,-1.964.095.940.046.810,6.086.081.600.615.460,16.940.749.520.713.200,-2.626.841.225.934.960,19.957.737.100.160.300,863.754.196.444.999,-16.709.667.051.938.100,-1
11.904.835.597.393.100,2.969.441.876.648.610,17.414.838.223.660.000,-7.274.084.805.627.170,-13.369.239.177.525.000,6.163.787.368.786.600,-12.053.756.020.972.800,4.014.472.032.342.640,85.993.002.704.992,19.406.504.142.717.900,1
-13.568.640.488.803.500,46.623.708.720.415.100,-338.156.898.123.415,-21.818.471.845.926.300,-2.771.300.868.956.950,-8.737.226.882.624.970,-43.323.904.275.336.100,-8.190.087.403.873.810,2.497.354.834.551.940,-15.302.781.909.247.100,-1
-28.219.891.241.270.400,26.840.111.168.377.800,-16.442.862.631.792.300,-4.021.729.982.294.780,-10.941.928.719.708.100,-29.610.697.022.376.900,14.504.859.755.898.100,11.157.326.693.093.000,-22.449.605.165.056.200,-13.049.408.267.912.000,-1
4.876.597.914.843.870,-8.332.704.847.313.130,-15.680.467.816.089.400,5.574.272.484.722.350,711.972.960.231.764,-1.327.556.886.920.900,31.473.966.073.300.400,-23.548.228.022.063.300,-1.499.966.633.638.110,-1.676.510.551.239.190,-1
14.314.387.215.499.700,11.913.674.570.496.900,-6.622.404.371.931.500,2.754.424.141.486.930,8.218.774.256.920.140,-5.655.210.353.952.450,49.223.108.177.429.200,-503.684.177.251.893,1.262.063.968.128.280,-10.006.396.685.790.900,-1
-2.798.644.769.604.220,16.885.592.900.156.100,-45.109.246.596.407.600,1.555.858.522.521.750,-12.098.987.739.109.700,2.214.206.349.368.670,24.558.002.976.821.500,-14.202.624.398.726.500,12.451.659.073.627.100,944.904.816.094.386,1
8.320.768.409.121.770,-10.162.534.978.878.600,13.313.550.299.013.800,19.442.481.375.099.400,-7.959.531.335.803.400,10.776.720.805.911.300,28.623.639.502.045.700,-2.180.033.665.636.980,18.917.630.513.434.300,-19.616.556.037.455.400,-1
